System	 #Comps	 Training size	 Probing	 #Experiment	 Identified faults	 Missed faults 	 Exonorated	 False Positives
74181.	65	8192	1	49	1	0	64	0
74181.	65	8192	1	50	1	0	38	26
74181.	65	8192	1	51	0	1	23	0
74181.	65	8192	1	52	1	0	64	0
74181.	65	8192	1	53	1	0	44	20
74181.	65	8192	1	54	1	0	56	8
74181.	65	8192	1	55	1	0	22	42
74181.	65	8192	1	56	1	0	24	15
74181.	65	8192	1	57	1	0	21	19
74181.	65	8192	1	58	1	0	41	23
74181.	65	8192	1	59	1	0	26	11
74181.	65	8192	1	60	1	0	16	33
74181.	65	8192	1	61	0	1	20	0
74181.	65	8192	1	62	1	0	64	0
74181.	65	8192	1	63	1	0	54	10
74181.	65	8192	1	64	1	0	18	46
74181.	65	8192	1	65	1	0	26	38
74181.	65	8192	1	66	1	0	17	11
74181.	65	8192	1	67	1	0	17	32
74181.	65	8192	1	68	1	0	53	11
74181.	65	8192	1	69	1	0	18	46
74181.	65	8192	1	70	1	0	20	44
74181.	65	8192	1	71	1	0	19	34
74181.	65	8192	1	72	1	0	44	20
74181.	65	8192	1	73	1	0	34	30
74181.	65	8192	1	74	1	0	53	11
74181.	65	8192	1	75	1	0	34	30
74181.	65	8192	1	76	1	0	19	30
74181.	65	8192	1	77	1	0	21	21
74181.	65	8192	1	78	1	0	20	44
74181.	65	8192	1	79	1	0	16	11
74181.	65	8192	1	80	1	0	43	21
74181.	65	8192	1	81	0	1	21	0
74181.	65	8192	1	82	1	0	46	18
74181.	65	8192	1	83	0	1	26	0
74181.	65	8192	1	84	1	0	39	25
74181.	65	8192	1	85	1	0	47	17
74181.	65	8192	1	86	1	0	21	20
74181.	65	8192	1	87	1	0	11	25
74181.	65	8192	1	88	1	0	14	3
74181.	65	8192	1	89	1	0	15	29
74181.	65	8192	1	90	1	0	17	32
74181.	65	8192	1	91	1	0	44	20
74181.	65	8192	1	92	1	0	19	11
74181.	65	8192	1	93	1	0	34	30
74181.	65	8192	1	94	1	0	26	38
74181.	65	8192	1	95	1	0	34	30
74181.	65	8192	1	96	1	0	17	30
74181.	65	8192	1	97	1	0	35	29
74181.	65	8192	1	98	1	0	22	27
74181.	65	8192	1	99	1	0	25	39
74181.	65	16384	1	0	1	0	43	21
74181.	65	16384	1	1	1	0	34	30
74181.	65	16384	1	2	1	0	20	44
74181.	65	16384	1	3	1	0	45	19
74181.	65	16384	1	4	1	0	17	43
74181.	65	16384	1	5	1	0	34	30
74181.	65	16384	1	6	1	0	38	26
74181.	65	16384	1	7	1	0	34	30
74181.	65	16384	1	8	1	0	53	11
74181.	65	16384	1	9	1	0	43	21
74181.	65	16384	1	10	1	0	40	24
74181.	65	16384	1	11	1	0	21	43
74181.	65	16384	1	12	1	0	40	24
74181.	65	16384	1	13	1	0	35	29
74181.	65	16384	1	14	1	0	29	35
74181.	65	16384	1	15	1	0	34	30
74181.	65	16384	1	16	1	0	9	4
74181.	65	16384	1	17	1	0	53	11
74181.	65	16384	1	18	1	0	21	43
74181.	65	16384	1	19	1	0	26	38
74181.	65	16384	1	20	1	0	37	27
74181.	65	16384	1	21	1	0	21	43
74181.	65	16384	1	22	1	0	43	21
74181.	65	16384	1	23	1	0	53	11
74181.	65	16384	1	24	1	0	26	38
74181.	65	16384	1	25	1	0	47	17
74181.	65	16384	1	26	1	0	43	21
74181.	65	16384	1	27	1	0	34	30
74181.	65	16384	1	28	1	0	34	30
74181.	65	16384	1	29	1	0	64	0
74181.	65	16384	1	30	1	0	64	0
74181.	65	16384	1	31	1	0	25	39
74181.	65	16384	1	32	1	0	43	21
74181.	65	16384	1	33	1	0	34	30
74181.	65	16384	1	34	1	0	29	35
74181.	65	16384	1	35	1	0	25	39
74181.	65	16384	1	36	1	0	43	21
74181.	65	16384	1	37	1	0	43	21
74181.	65	16384	1	38	1	0	26	38
